"","accession","sample-name","sample-desc","biome","X","Y","silicate_umol/L","temperature_&deg;C","depth_m","region","collection_date","environment_biome","environment_feature","environmental_package","chlorophyll_mg/m3","dissolved_oxygen_mg/L","nitrate_umol/L","phosphate_umol/L","salinity_ppt","NCBI_sample_classification","instrument_model","ENA_checklist"
"67","ERS689196","GS064 0.1µm","Water sample taken on 2004-08-22T01:09:00+00:00 from site GS064 (lat:-22.3984, long:166.9595333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of New Caledonia  (Fr.), the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge New Caledonia  (Fr.) as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","166.9595333","-22.3984","0.82","22.1","1.5","South Pacific Ocean:New Caledonia Marine Ecoregion:80mi from New Caledonia","2004-08-22T01:09:00+00:00","ocean biome","open ocean","water","0.51","4.9","0.76","0","36","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"68","ERS689197","GS065 0.8µm","Water sample taken on 2004-09-07T01:21:00+00:00 from site GS065 (lat:-22.71193333, long:167.3082), 0.8µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of New Caledonia (Fr.), the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge New Caledonia (Fr.) as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","167.3082","-22.71193333","0.46","21.8","1.8","South Pacific Ocean:New Caledonia Marine Ecoregion:Offshore of Isle des Pins, New Caledonia","2004-09-07T01:21:00+00:00","ocean biome","coastal ocean","water","0.29","6.4","0.74","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"69","ERS689198","GS066 0.1µm","Water sample taken on 2004-09-15T21:51:00+00:00 from site GS066 (lat:-22.70653333, long:167.2947667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of New Caledonia (Fr.), the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge New Caledonia (Fr.) as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","167.2947667","-22.70653333","0.73","21.1","1.5","South Pacific Ocean:New Caledonia Marine Ecoregion:Offshore of Isle des Pins, New Caledonia","2004-09-15T21:51:00+00:00","ocean biome","coastal ocean","water","0.28","5.9","0.81","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"70","ERS689199","GS067 0.1µm","Water sample taken on 2004-09-19T00:30:00+00:00 from site GS067 (lat:-23.692, long:162.5326667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of New Caledonia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge New Caledonia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","162.5326667","-23.692","0.49","22.3","1.5","South Pacific Ocean:Open Ocean:567mi from Brisbane, Australia","2004-09-19T00:30:00+00:00","ocean biome","open ocean","water","0.13","5.5","0.41","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"71","ERS689200","GS068 0.1µm","Water sample taken on 2004-09-19T23:24:00+00:00 from site GS068 (lat:-24.97646667, long:159.0702333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of New Caledonia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge New Caledonia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","159.0702333","-24.97646667","2","22.7","1.8","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:365mi from Brisbane, Australia","2004-09-19T23:24:00+00:00","ocean biome","open ocean","water","0.15","5.5","0.46","0","36","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"72","ERS689201","GS069 0.1µm","Water sample taken on 2004-09-21T00:40:00+00:00 from site GS069 (lat:-26.24853333, long:155.6156667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","155.6156667","-26.24853333","0.73","21.9","2","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:160mi from Brisbane, Australia","2004-09-21T00:40:00+00:00","ocean biome","open ocean","water","0.15","4.8","0.61","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"73","ERS689202","GS070 0.1µm","Water sample taken on 2005-01-03T00:41:00+00:00 from site GS070 (lat:-33.8514, long:151.2674333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2674333","-33.8514","1.3","21.8","1.8","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Syndey Harbor, Sydney, Australia","2005-01-03T00:41:00+00:00","ocean biome","bay","water","0.13","1.9","1.4","0.11","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"74","ERS689203","GS071 0.1µm","Water sample taken on 2005-01-03T00:41:00+00:00 from site GS071 (lat:-33.8514, long:151.2674333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2674333","-33.8514","1.3","21.8","1.8","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Syndey Harbor, Sydney, Australia","2005-01-03T00:41:00+00:00","ocean biome","bay","water","0.13","1.9","1.4","0.11","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"75","ERS689204","GS072 0.1µm","Water sample taken on 2005-01-03T04:06:00+00:00 from site GS072 (lat:-34.0081, long:151.2398667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2398667","-34.0081","1.6","21.5","2.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-03T04:06:00+00:00","ocean biome","bay","water","0.13","5.8","1","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"76","ERS689205","GS073 0.1µm","Water sample taken on 2005-01-03T04:06:00+00:00 from site GS073 (lat:-34.0081, long:151.2398667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2398667","-34.0081","1.6","21.5","2.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-03T04:06:00+00:00","ocean biome","bay","water","0.13","5.8","1","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"77","ERS689206","GS074 0.1µm","Water sample taken on 2005-01-18T02:12:00+00:00 from site GS074 (lat:-33.8301, long:151.07), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.07","-33.8301","2.6","23.9","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Home Bush, Sydney, Australia","2005-01-18T02:12:00+00:00","ocean biome","river outflow","water","n/a","5.6","1.2","0.96","34","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"78","ERS689207","GS075 0.1µm","Water sample taken on 2005-01-18T02:12:00+00:00 from site GS075 (lat:-33.8301, long:151.07), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.07","-33.8301","2.6","23.9","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Home Bush, Sydney, Australia","2005-01-18T02:12:00+00:00","ocean biome","river outflow","water","n/a","5.6","1.2","0.96","34.7","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"79","ERS689208","GS076 0.1µm","Water sample taken on 2005-01-18T22:31:00+00:00 from site GS076 (lat:-33.99886667, long:151.2481333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2481333","-33.99886667","0.28","21.4","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Bare Island, Sydney, Australia","2005-01-18T22:31:00+00:00","ocean biome","bay","water","0.17","4.7","0.98","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"80","ERS689209","GS077 0.1µm","Water sample taken on 2005-01-18T22:31:00+00:00 from site GS077 (lat:-33.99886667, long:151.2481333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2481333","-33.99886667","0.28","21.4","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Bare Island, Sydney, Australia","2005-01-18T22:31:00+00:00","ocean biome","bay","water","0.17","4.7","0.98","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"81","ERS689210","GS078 0.1µm","Water sample taken on 2005-01-19T01:11:00+00:00 from site GS078 (lat:-34.00693333, long:151.2403333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2403333","-34.00693333","0.29","21.8","2.7","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-19T01:11:00+00:00","ocean biome","bay","water","0.19","5.9","1","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"82","ERS689211","GS079 0.1µm","Water sample taken on 2005-01-19T01:11:00+00:00 from site GS079 (lat:-34.00693333, long:151.2403333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2403333","-34.00693333","0.29","21.8","2.7","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-19T01:11:00+00:00","ocean biome","bay","water","0.19","5.9","1","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"83","ERS689212","GS080 0.1µm","Water sample taken on 2005-01-20T01:56:00+00:00 from site GS080 (lat:-33.85926667, long:151.2188), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.2188","-33.85926667","3.4","23.6","0.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Under Harbor Bridge, Sydney, Australia","2005-01-20T01:56:00+00:00","ocean biome","bay","water","0.2","7.6","0.89","0.13","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"84","ERS689213","GS082 0.1µm","Water sample taken on 2005-01-21T00:04:00+00:00 from site GS082 (lat:-33.45953333, long:151.5078667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.5078667","-33.45953333","0.83","22","2","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Off Bulbararing Bay, Broken Head Point, NSW, Australia","2005-01-21T00:04:00+00:00","ocean biome","open ocean","water","0.2","7.9","0.77","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"85","ERS689214","GS083 0.1µm","Water sample taken on 2005-01-22T05:43:00+00:00 from site GS083 (lat:-29.3988, long:153.483), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","153.483","-29.3988","0.79","25.8","2","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:Yamba, NSW, Australia","2005-01-22T05:43:00+00:00","ocean biome","open ocean","water","0.22","8.2","1.7","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"86","ERS689215","GS084 0.1µm","Water sample taken on 2005-02-24T00:17:00+00:00 from site GS084 (lat:-35.32706667, long:142.8216667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","142.8216667","-35.32706667","38.2","26.2","0.3","Australia:Victoria:Lake Tyrell in Sea Lake, Victoria, Australia","2005-02-24T00:17:00+00:00","ocean biome","hypersaline pond","water","0.45","7.14","7.6","2.4","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"87","ERS689216","GS086 0.1µm","Water sample taken on 2005-02-26T00:07:00+00:00 from site GS086 (lat:-37.9313, long:144.8555333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","144.8555333","-37.9313","2.1","21.8","1.4","South Pacific Ocean:Bassian Marine Ecoregion:North Port Philip Bay, Melbourne, Australia","2005-02-26T00:07:00+00:00","ocean biome","bay","water","8.7","4.9","0.11","1.3","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"88","ERS689217","GS088 0.1µm","Water sample taken on 2005-03-01T22:42:00+00:00 from site GS088 (lat:-38.1747, long:144.4383333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","144.4383333","-38.1747","13.8","24.2","0.3","Australia:Geelong:Cheetam Salt ponds, Geelong, Victoria, Australia","2005-03-01T22:42:00+00:00","ocean biome","hypersaline pond","water","9.1","1.53","0.29","0.9","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"89","ERS689218","GS089 0.1µm","Water sample taken on 2005-03-02T00:35:00+00:00 from site GS089 (lat:-38.16513333, long:144.4101), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","144.4101","-38.16513333","4.9","28.6","0.3","Australia:Geelong:Cheetam Salt ponds, Geelong, Victoria, Australia","2005-03-02T00:35:00+00:00","ocean biome","hypersaline pond","water","9.1","2.5","0.31","0.83","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"90","ERS689219","GS090 0.1µm","Water sample taken on 2005-03-02T04:54:00+00:00 from site GS090 (lat:-38.29676667, long:144.6469667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","144.6469667","-38.29676667","0.38","19.7","0.61","South Pacific Ocean:Bassian Marine Ecoregion:South Port Philip Bay, Melbourne, Australia","2005-03-02T04:54:00+00:00","ocean biome","coastal ocean","water","2.5","4.8","0.21","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"91","ERS689220","GS091 0.1µm","Water sample taken on 2005-03-09T00:53:00+00:00 from site GS091 (lat:-43.057, long:147.2976667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","147.2976667","-43.057","0.97","17.6","0.46","South Pacific Ocean:Bassian Marine Ecoregion:Center N.W. Bay, Hobart, Australia","2005-03-09T00:53:00+00:00","ocean biome","estuary","water","5.3","3","0.074","0","32.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"92","ERS689221","GS093 0.1µm","Water sample taken on 2005-04-23T00:47:00+00:00 from site GS093 (lat:-27.34366667, long:153.1968667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","153.1968667","-27.34366667","1.1","23.4","1.4","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:Mouth of Brisbane River, Brisbane, Australia","2005-04-23T00:47:00+00:00","ocean biome","river outflow","water","2.4","6.5","0.73","0.9","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"93","ERS689222","GS094 0.1µm","Water sample taken on 2005-04-26T23:13:00+00:00 from site GS094 (lat:-23.45446667, long:151.8857333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Australia, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Australia as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","151.8857333","-23.45446667","0.92","25","1.5","Coral Sea:Central and Southern Great Barrier Reef Marine Ecoregion:Heron Island, Queensland, Australia","2005-04-26T23:13:00+00:00","ocean biome","reef","water","0.49","6.3","0.28","0","36.7","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
